year,borough,postcode,Lat,Lon,crimes
2013-14,BROOKLYN ,11238,40.68505,-73.960659,0
2013-14,BROOKLYN ,11221,40.691274,-73.933697,0
2013-14,BROOKLYN ,11206,40.703624,-73.953146,0
2013-14,BROOKLYN ,11221,40.691274,-73.933697,0
2013-14,BROOKLYN ,11209,40.618415,-74.028842,4
2013-14,BROOKLYN ,11221,40.691274,-73.933697,0
2013-14,BROOKLYN ,11221,40.691274,-73.933697,12
2013-14,BROOKLYN ,11231,40.680149,-73.994938,0
2013-14,BROOKLYN ,11206,40.696733,-73.943652,0
2013-14,BROOKLYN ,11206,40.696733,-73.943652,0
2013-14,BROOKLYN ,11206,40.696733,-73.943652,1
2013-14,BROOKLYN ,11225,40.664007,-73.94922,23
2013-14,BROOKLYN ,11218,40.638686,-73.971651,4
2013-14,BROOKLYN ,11236,40.64883,-73.907774,0
2013-14,BROOKLYN ,11205,40.695633,-73.978215,0
2013-14,BROOKLYN ,11205,40.695633,-73.978215,0
2013-14,BROOKLYN ,11205,40.695633,-73.978215,5
2013-14,BROOKLYN ,11236,40.635553,-73.91079,29
2013-14,BROOKLYN ,11220,40.632379,-74.009223,0
2013-14,BROOKLYN ,11206,40.703624,-73.953146,0
2013-14,BROOKLYN ,11206,40.703624,-73.953146,42
2013-14,BROOKLYN ,11208,40.669387,-73.879614,0
2013-14,BROOKLYN ,11208,40.669387,-73.879614,0
2013-14,BROOKLYN ,11208,40.669387,-73.879614,10
2013-14,BROOKLYN ,11233,40.680318,-73.910644,0
2013-14,BROOKLYN ,11233,40.680318,-73.910644,0
2013-14,BROOKLYN ,11233,40.680318,-73.910644,0
2013-14,BROOKLYN ,11233,40.680318,-73.910644,7
2013-14,BROOKLYN ,11221,40.693313,-73.920666,1
2013-14,BROOKLYN ,11234,40.621224,-73.91287,15
2013-14,BROOKLYN ,11221,40.693161,-73.935765,9
2013-14,BROOKLYN ,11249,40.714785,-73.963,1
2013-14,BROOKLYN ,11238,40.682533,-73.968769,16
2013-14,BROOKLYN ,11237,40.700774,-73.91748,0
2013-14,BROOKLYN ,11215,40.660024,-73.987637,0
2013-14,BROOKLYN ,11215,40.660024,-73.987637,0
2013-14,BROOKLYN ,11215,40.660024,-73.987637,17
2013-14,BROOKLYN ,11224,40.578255,-73.979628,6
2013-14,BROOKLYN ,11203,40.661886,-73.93994,8
2013-14,BROOKLYN ,11226,40.656046,-73.953742,0
2013-14,BROOKLYN ,11226,40.656046,-73.953742,0
2013-14,BROOKLYN ,11226,40.656046,-73.953742,6
2013-14,BROOKLYN ,11216,40.679097,-73.94684,2
2013-14,BROOKLYN ,11220,40.64366,-74.008252,2
2013-14,BROOKLYN ,11223,40.595698,-73.97518,3
2013-14,BROOKLYN ,11204,40.60754,-73.984661,13
2013-14,BROOKLYN ,11223,40.601433,-73.986139,3
2013-14,BROOKLYN ,11230,40.621565,-73.965595,1
2013-14,BROOKLYN ,11224,40.57732,-73.971313,3
2013-14,BROOKLYN ,11214,40.597863,-73.991693,1
2013-14,BROOKLYN ,11219,40.632936,-74.00374,2
2013-14,BROOKLYN ,11221,40.693879,-73.913056,4
2013-14,BROOKLYN ,11222,40.723897,-73.942312,2
2013-14,BROOKLYN ,11221,40.70069,-73.927481,0
2013-14,BROOKLYN ,11221,40.70069,-73.927481,0
2013-14,BROOKLYN ,11221,40.70069,-73.927481,20
2013-14,BROOKLYN ,11228,40.61978,-74.000792,1
2013-14,BROOKLYN ,11205,40.688811,-73.971009,4
2013-14,BROOKLYN ,11236,40.642792,-73.908806,0
2013-14,BROOKLYN ,11236,40.642792,-73.908806,0
2013-14,BROOKLYN ,11236,40.642792,-73.908806,2
2013-14,BROOKLYN ,11236,40.635015,-73.897262,3
2013-14,BROOKLYN ,11237,40.697779,-73.916521,0
2013-14,BROOKLYN ,11205,40.692642,-73.958794,0
2013-14,BROOKLYN ,11205,40.692642,-73.958794,0
2013-14,BROOKLYN ,11205,40.692642,-73.958794,0
2013-14,BROOKLYN ,11205,40.692642,-73.958794,6
2013-14,BROOKLYN ,11210,40.625662,-73.938265,1
2013-14,BROOKLYN ,11206,40.700911,-73.938884,1
2013-14,BROOKLYN ,11204,40.623273,-73.978822,0
2013-14,BROOKLYN ,11237,40.703767,-73.922702,0
2013-14,BROOKLYN ,11215,40.667545,-73.991046,0
2013-14,BROOKLYN ,11222,40.719819,-73.948625,0
2013-14,BROOKLYN ,11222,40.719819,-73.948625,0
2013-14,BROOKLYN ,11222,40.719819,-73.948625,0
2013-14,BROOKLYN ,11222,40.719819,-73.948625,12
2013-14,BROOKLYN ,11228,40.624132,-74.018826,0
2013-14,BROOKLYN ,11214,40.604871,-73.995545,0
2013-14,BROOKLYN ,11218,40.648884,-73.975607,0
2013-14,BROOKLYN ,11219,40.641157,-73.993482,2
2013-14,BROOKLYN ,11211,40.71466,-73.946108,0
2013-14,BROOKLYN ,11203,40.65364,-73.933114,0
2013-14,BROOKLYN ,11232,40.651977,-74.006862,0
2013-14,BROOKLYN ,11232,40.651977,-74.006862,0
2013-14,BROOKLYN ,11232,40.651977,-74.006862,0
2013-14,BROOKLYN ,11232,40.651977,-74.006862,9
2013-14,BROOKLYN ,11233,40.682458,-73.917088,7
2013-14,BROOKLYN ,11216,40.67438,-73.951443,0
2013-14,BROOKLYN ,11216,40.67438,-73.951443,0
2013-14,BROOKLYN ,11216,40.67438,-73.951443,7
2013-14,BROOKLYN ,11226,40.641937,-73.965523,5
2013-14,BROOKLYN ,11231,40.68007,-74.001377,0
2013-14,BROOKLYN ,11231,40.68007,-74.001377,0
2013-14,BROOKLYN ,11231,40.68007,-74.001377,23
2013-14,BROOKLYN ,11206,40.701692,-73.932338,8
2013-14,BROOKLYN ,11206,40.705204,-73.939407,0
2013-14,BROOKLYN ,11206,40.705204,-73.939407,0
2013-14,BROOKLYN ,11206,40.705204,-73.939407,9
2013-14,BROOKLYN ,11206,40.698869,-73.945042,16
2013-14,BROOKLYN ,11207,40.669719,-73.892822,3
2013-14,BROOKLYN ,11212,40.66896,-73.904726,0
2013-14,BROOKLYN ,11212,40.66896,-73.904726,0
2013-14,BROOKLYN ,11212,40.66896,-73.904726,6
2013-14,BROOKLYN ,11207,40.693293,-73.90864,0
2013-14,BROOKLYN ,11210,40.632562,-73.954724,0
2013-14,BROOKLYN ,11210,40.633232,-73.954655,0
2013-14,BROOKLYN ,11210,40.633232,-73.954655,3
2013-14,BROOKLYN ,11229,40.601617,-73.959779,0
2013-14,BROOKLYN ,11215,40.657472,-73.97618,4
2013-14,BROOKLYN ,11233,40.677415,-73.908734,5
2013-14,BROOKLYN ,11205,40.695417,-73.959571,2
2013-14,BROOKLYN ,11207,40.672579,-73.884803,2
2013-14,BROOKLYN ,11208,40.675766,-73.869469,2
2013-14,BROOKLYN ,11219,40.637322,-73.999215,0
2013-14,BROOKLYN ,11225,40.666181,-73.949013,2
2013-14,BROOKLYN ,11237,40.707229,-73.919805,3
2013-14,BROOKLYN ,11214,40.607234,-74.007199,0
2013-14,BROOKLYN ,11219,40.637486,-73.985955,0
2013-14,BROOKLYN ,11212,40.65744,-73.911053,9
2013-14,BROOKLYN ,11207,40.66011,-73.885387,0
2013-14,BROOKLYN ,11207,40.66011,-73.885387,0
2013-14,BROOKLYN ,11207,40.66011,-73.885387,19
2013-14,BROOKLYN ,11213,40.669001,-73.934635,0
2013-14,BROOKLYN ,11213,40.669001,-73.934635,0
2013-14,BROOKLYN ,11213,40.669001,-73.934635,0
2013-14,BROOKLYN ,11213,40.669001,-73.934635,3
2013-14,BROOKLYN ,11232,40.64629,-74.001903,1
2013-14,BROOKLYN ,11209,40.630843,-74.01913,0
2013-14,BROOKLYN ,11208,40.68618,-73.869625,7
2013-14,BROOKLYN ,11232,40.657914,-74.000652,0
2013-14,BROOKLYN ,11207,40.665798,-73.897723,0
2013-14,BROOKLYN ,11207,40.665798,-73.897723,0
2013-14,BROOKLYN ,11207,40.665798,-73.897723,0
2013-14,BROOKLYN ,11203,40.642031,-73.931151,0
2013-14,BROOKLYN ,11207,40.665798,-73.897723,3
2013-14,BROOKLYN ,11212,40.665878,-73.911705,0
2013-14,BROOKLYN ,11212,40.665878,-73.911705,0
2013-14,BROOKLYN ,11212,40.665878,-73.911705,29
2013-14,BROOKLYN ,11219,40.624611,-74.005378,6
2013-14,BROOKLYN ,11204,40.608604,-73.974847,0
2013-14,BROOKLYN ,11233,40.675024,-73.915778,11
2013-14,BROOKLYN ,11218,40.640463,-73.977642,3
2013-14,BROOKLYN ,11204,40.627029,-73.989672,0
2013-14,BROOKLYN ,11204,40.627029,-73.989672,0
2013-14,BROOKLYN ,11204,40.627029,-73.989672,9
2013-14,BROOKLYN ,11203,40.648215,-73.946374,11
2013-14,BROOKLYN ,11212,40.660204,-73.913933,0
2013-14,BROOKLYN ,11212,40.660204,-73.913933,0
2013-14,BROOKLYN ,11212,40.660204,-73.913933,0
2013-14,BROOKLYN ,11212,40.660204,-73.913933,0
2013-14,BROOKLYN ,11212,40.660204,-73.913933,1
2013-14,BROOKLYN ,11212,40.659966,-73.904901,4
2013-14,BROOKLYN ,11209,40.623986,-74.033779,0
2013-14,BROOKLYN ,11214,40.611483,-73.994677,6
2013-14,BROOKLYN ,11224,40.577217,-74.000194,4
2013-14,BROOKLYN ,11212,40.665565,-73.926246,6
2013-14,BROOKLYN ,11207,40.662326,-73.894441,0
2013-14,BROOKLYN ,11207,40.662326,-73.894441,0
2013-14,BROOKLYN ,11207,40.662326,-73.894441,5
2013-14,BROOKLYN ,11233,40.672005,-73.924329,5
2013-14,BROOKLYN ,11204,40.629303,-73.979995,2
2013-14,BROOKLYN ,11210,40.621507,-73.950473,4
2013-14,BROOKLYN ,11229,40.596757,-73.933499,2
2013-14,BROOKLYN ,11235,40.579451,-73.943819,0
2013-14,BROOKLYN ,11211,40.709674,-73.954217,0
2013-14,BROOKLYN ,11206,40.708723,-73.940002,0
2013-14,BROOKLYN ,11206,40.708723,-73.940002,0
2013-14,BROOKLYN ,11206,40.708723,-73.940002,4
