Provider,Locations
ALTICEUSA,237
AT&T,27
BPL,59
Chelsea,30
City Tech,11
Downtown Brooklyn,100
Harlem,128
LinkNYC - Citybridge,1134
Manhattan Down Alliance,36
NYCHA,28
NYPL,90
Partner,2
QPL,65
SPECTRUM,343
Transit Wireless,276
