OBJECTID,PROVIDER,LAT,LON,LOCATION_T,BORONAME
1070,LinkNYC - Citybridge,40.753899,-73.972326,Outdoor Kiosk,Manhattan
1071,LinkNYC - Citybridge,40.755877,-73.97103,Outdoor Kiosk,Manhattan
1072,LinkNYC - Citybridge,40.755356,-73.971251,Outdoor Kiosk,Manhattan
1073,LinkNYC - Citybridge,40.755233,-73.971032,Outdoor Kiosk,Manhattan
1,ALTICEUSA,40.65831,-73.94406,Outdoor,Brooklyn
2,ALTICEUSA,40.658,-73.94723,Outdoor,Brooklyn
4,ALTICEUSA,40.65743,-73.94716,Outdoor,Brooklyn
5,ALTICEUSA,40.65743,-73.94716,Outdoor,Brooklyn
6,ALTICEUSA,40.846314,-73.824472,Outdoor,Bronx
7,ALTICEUSA,40.847596,-73.82223,Outdoor,Bronx
8,ALTICEUSA,40.848159,-73.821071,Outdoor,Bronx
9,ALTICEUSA,40.848322,-73.82075,Outdoor,Bronx
10,ALTICEUSA,40.849233,-73.82105,Outdoor,Bronx
11,ALTICEUSA,40.849196,-73.821055,Outdoor,Bronx
12,ALTICEUSA,40.850208,-73.821752,Outdoor,Bronx
13,ALTICEUSA,40.850232,-73.821777,Outdoor,Bronx
14,ALTICEUSA,40.864437,-73.894553,Outdoor,Bronx
15,ALTICEUSA,40.864458,-73.895115,Outdoor,Bronx
16,ALTICEUSA,40.864781,-73.894626,Outdoor,Bronx
17,ALTICEUSA,40.865167,-73.894227,Outdoor,Bronx
18,ALTICEUSA,40.650721,-73.968489,Outdoor,Brooklyn
19,ALTICEUSA,40.65068,-73.96846,Outdoor,Brooklyn
20,ALTICEUSA,40.650738,-73.968429,Outdoor,Brooklyn
21,ALTICEUSA,40.6507,-73.965843,Outdoor,Brooklyn
22,ALTICEUSA,40.660469,-73.965168,Outdoor,Brooklyn
23,ALTICEUSA,40.660842,-73.965121,Outdoor,Brooklyn
24,ALTICEUSA,40.661197,-73.965252,Outdoor,Brooklyn
25,ALTICEUSA,40.657452,-73.963991,Outdoor,Brooklyn
27,ALTICEUSA,40.657452,-73.963991,Outdoor,Brooklyn
28,ALTICEUSA,40.657001,-73.963697,Indoor,Brooklyn
29,ALTICEUSA,40.657001,-73.963697,Indoor,Brooklyn
30,ALTICEUSA,40.657001,-73.963697,Indoor,Brooklyn
31,ALTICEUSA,40.657001,-73.963697,Indoor,Brooklyn
32,ALTICEUSA,40.84459,-73.8598,Indoor,Bronx
33,ALTICEUSA,40.84459,-73.8598,Outdoor,Bronx
34,ALTICEUSA,40.685043,-73.918933,Outdoor,Brooklyn
35,ALTICEUSA,40.685032,-73.91907,Outdoor,Brooklyn
36,ALTICEUSA,40.887637,-73.835951,Outdoor,Bronx
37,ALTICEUSA,40.888783,-73.840133,Outdoor,Bronx
38,ALTICEUSA,40.885284,-73.838521,Outdoor,Bronx
39,ALTICEUSA,40.886622,-73.83497,Outdoor,Bronx
40,ALTICEUSA,40.86473,-73.899037,Outdoor,Bronx
41,ALTICEUSA,40.86473,-73.899037,Indoor,Bronx
42,ALTICEUSA,40.674013,-73.934698,Outdoor,Brooklyn
43,ALTICEUSA,40.67404,-73.935053,Outdoor,Brooklyn
44,ALTICEUSA,40.673801,-73.935166,Outdoor,Brooklyn
45,ALTICEUSA,40.67343,-73.93463,Outdoor,Brooklyn
46,ALTICEUSA,40.673866,-73.934717,Outdoor,Brooklyn
47,ALTICEUSA,40.673805,-73.934785,Indoor,Brooklyn
48,ALTICEUSA,40.673781,-73.935109,Indoor,Brooklyn
49,ALTICEUSA,40.673755,-73.935014,Indoor,Brooklyn
50,ALTICEUSA,40.673727,-73.934867,Indoor,Brooklyn
51,ALTICEUSA,40.673695,-73.934935,Indoor,Brooklyn
